input,output
Facility: POL_MatureDairyCattle_11617 | Country: POL | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: PRT_MatureDairyCattle_37590 | Country: PRT | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Floreal Madagascar (Usine 1) | Country: MDG | Sector: textiles-leather-apparel | EmissionReductionPotential(Mt): 0.002 | Difficulty: Long-term,"High heat processes, like dyeing and finishing is are emissions-intensive. Electric boilers and industrial heat pumps not only reduce emissions from fuel combustion, but also from efficiency improvements."
Facility: Gloucestershire Administrative County | Country: GBR | Sector: sand-quarrying | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replacement of all diesel-powered mining vehicles and plant machinery with electric equivalents
Facility: GBR_MatureDairyCattle_3843 | Country: GBR | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: ITA_MatureDairyCattle_8071 | Country: ITA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Birnin Gwari Local Authority | Country: NGA | Sector: manure-applied-to-soils | EmissionReductionPotential(Mt): 0.004 | Difficulty: Long-term,Injecting or incorporating manure slurry below the surface rather than spreading on surface reduces N₂O by limiting anaerobic microsites and promoting better aeration.
Facility: Itacoatiara Municipality | Country: BRA | Sector: rock-quarrying | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replacement of all diesel-powered mining vehicles and plant machinery with electric equivalents
Facility: Redwood County | Country: USA | Sector: synthetic-fertilizer-application | EmissionReductionPotential(Mt): 0.022 | Difficulty: Long-term,"Apply nitrification and/or urease inhibitors with synthetic N. Meta-analysis average EF ratio ≈ 0.642 (~36% reduction vs conventional). Works best with correct timing, incorporation, and moisture management."
Facility: Vitória de Santo Antão Municipality | Country: BRA | Sector: biological-treatment-of-solid-waste-and-biogenic | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Flare CH4  from anaerobic digestion
Facility: Villagudin | Country: ESP | Sector: water-reservoirs | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Withdraw water from the upper part of the water column for reservoirs in a temperate climate zone
Facility: Vertedero Municipal De Bolaños | Country: MEX | Sector: solid-waste-disposal | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Divert waste from small dumpsite through recycling and composting or anaerobic digestion technologies, shut down site, and divert remaining waste to a controlled dump"
Facility: USA_California_MatureDairyCattle_1919 | Country: USA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Mid-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Tandag City | Country: PHL | Sector: forest-land-clearing | EmissionReductionPotential(Mt): 0.019 | Difficulty: Long-term,"Forest restoration includes natural regeneration, restoration with native species, Agroforestry and mixed land use, and community forest landscape restoration"
Facility: Tabaporã Municipality | Country: BRA | Sector: incineration-and-open-burning-of-waste | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Open burning of waste occurs in regions with poor waste management infrastructure. Decentralized waste management practices like neighborhood composting and recycling can reduce the emissions from open burning.
Facility: USA_Nebraska_OtherBeefCattle_23243 | Country: USA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For non-dairy cattle high productivity, change manure handling to daily spread: the manure is removed within 24hrs of excretion from confined area and applied directly to fields and/or pasture."
Facility: Chư Sê District | Country: VNM | Sector: forest-land-clearing | EmissionReductionPotential(Mt): 0.009 | Difficulty: Long-term,"Forest restoration includes natural regeneration, restoration with native species, Agroforestry and mixed land use, and community forest landscape restoration"
Facility: Jinan Changcheng Petroleum Refinery | Country: CHN | Sector: oil-and-gas-refining | EmissionReductionPotential(Mt): 0.004 | Difficulty: Long-term,Shut down units that convert paraffinic naphtha to gasoline in non-US medium conversion refineries
Facility: Boulemane Province | Country: MAR | Sector: manure-applied-to-soils | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,Injecting or incorporating manure slurry below the surface rather than spreading on surface reduces N₂O by limiting anaerobic microsites and promoting better aeration.
Facility: CHN_MatureDairyCattle_5499 | Country: CHN | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle low productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Porter County | Country: USA | Sector: crop-residues | EmissionReductionPotential(Mt): 0.005 | Difficulty: Long-term,"Carbon-to-nitrogen ratio (C:N) in fields determines crop residue decomposition. In low C:N fields, prioritize surface retention under dry conditions, delayed incorporation, removal for processing, or conversion to biochar."
Facility: Sèmè-Kpodji Commune | Country: BEN | Sector: cropland-fires | EmissionReductionPotential(Mt): 0.006 | Difficulty: Long-term,"This practice involves the removal of crop residues rather than burning biomass after harvest and reprocessing as animal feed, bedding or soil amendments."
Facility: Sacu Commune | Country: ROU | Sector: railways | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Electrification of railways, following historical trends of electrification"
Facility: Cristioru De Jos Commune | Country: ROU | Sector: fluorinated-gases | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Replace the use of refrigerants in refrigeration and air conditioning equipment with low global warming potential alternatives such as CO2, propane, or ammonia"
Facility: NLD_MatureDairyCattle_15683 | Country: NLD | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Pabellón de Arteaga Municipality | Country: MEX | Sector: other-manufacturing | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: Phillips County | Country: USA | Sector: biological-treatment-of-solid-waste-and-biogenic | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Flare CH4  from anaerobic digestion
Facility: Porto Real Municipality | Country: BRA | Sector: solid-waste-disposal | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: Santo Antônio do Planalto Municipality | Country: BRA | Sector: rock-quarrying | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replacement of all diesel-powered mining vehicles and plant machinery with electric equivalents
Facility: Haora District | Country: IND | Sector: rock-quarrying | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replacement of all diesel-powered mining vehicles and plant machinery with electric equivalents
Facility: Most District | Country: CZE | Sector: enteric-fermentation-cattle-pasture | EmissionReductionPotential(Mt): 0.002 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Temurmalik District | Country: TJK | Sector: wood-and-wood-products | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replace energy requirement in the mills with waste biomass burning
Facility: POL_MatureDairyCattle_12011 | Country: POL | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: FRA_MatureDairyCattle_13779 | Country: FRA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: ESP_MatureDairyCattle_30295 | Country: ESP | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Khasynskiy District | Country: RUS | Sector: residential-onsite-fuel-usage | EmissionReductionPotential(Mt): 0.009 | Difficulty: Long-term,"Retrofit traditional building systems with high-efficiency technologies for space heating, water heating, and food preparation"
Facility: Lagoinha Municipality | Country: BRA | Sector: shrubgrass-fires | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"Reduce the risk of grassland fires by: Removing dry grass and brush, creating firebreaks, and land management"
Facility: Rio Espera Municipality | Country: BRA | Sector: crop-residues | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Carbon-to-nitrogen ratio (C:N) in fields determines crop residue decomposition. In low C:N fields, prioritize surface retention under dry conditions, delayed incorporation, removal for processing, or conversion to biochar."
Facility: Kleppholmen Havn | Country: NOR | Sector: domestic-shipping | EmissionReductionPotential(Mt): 0.001 | Difficulty: Mid-term,"Vessels arrive just in time to go straight into a berth, so there is no longer loitering activity outside the port which involves burning fossil fuels for varying periods of time"
Facility: Lanjan County | Country: IRN | Sector: enteric-fermentation-other | EmissionReductionPotential(Mt): 0.002 | Difficulty: Long-term,Feed additive 3-NOP has been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: NEPHI | Country: USA | Sector: domestic-wastewater-treatment-and-discharge | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Construct advanced treatment structures and connect with existing secondary treatment effluent
Facility: BRA_OtherBeefCattle_5229 | Country: BRA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Mykola‹vs'kyi District | Country: UKR | Sector: wood-and-wood-products | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replace energy requirement in the mills with waste biomass burning
Facility: Tabuk Governorate | Country: SAU | Sector: other-manufacturing | EmissionReductionPotential(Mt): 0.166 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: Arachchikattuwa PS Division | Country: LKA | Sector: rice-cultivation | EmissionReductionPotential(Mt): 0.002 | Difficulty: Long-term,Changes in fertilizer composition (to include potassium and phosphorus in addition to nitrogen) encourages the production of micro-organisms that help control methane.
Facility: USA_Idaho_MatureDairyCattle_2367 | Country: USA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Nanterre | Country: FRA | Sector: domestic-shipping | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Replace a percentage of the marine fuel source with sustainable alternatives including synthetic fuels, biofuels, renewable energy, and electrification as appropriate."
Facility: Tojikobod District | Country: TJK | Sector: wood-and-wood-products | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replace energy requirement in the mills with waste biomass burning
Facility: Cabo Frio Municipality | Country: BRA | Sector: wetland-fires | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Reduce fire risk in wetlands by: Creating firebreaks, land management, and block wetland drainage"
Facility: DEU_MatureDairyCattle_8823 | Country: DEU | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, retrofit equipment for 1) Liquid/slurry - manure is stored in steel/concrete cylinders; and/or 2) Pit storage - manure is collected and stored below a slatted floor for less than a year."
Facility: Songea Rural District | Country: TZA | Sector: enteric-fermentation-other | EmissionReductionPotential(Mt): 0.013 | Difficulty: Long-term,Feed additive 3-NOP has been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Çeltikçi District | Country: TUR | Sector: residential-onsite-fuel-usage | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,"Retrofit traditional building systems with high-efficiency technologies for space heating, water heating, and food preparation"
Facility: Bakel Department | Country: SEN | Sector: incineration-and-open-burning-of-waste | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Open burning of waste occurs in regions with poor waste management infrastructure. Decentralized waste management practices like neighborhood composting and recycling can reduce the emissions from open burning.
Facility: Abu Musa County | Country: IRN | Sector: other-manufacturing | EmissionReductionPotential(Mt): 0.002 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: Arbore Commune | Country: ROU | Sector: railways | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Electrification of railways, following historical trends of electrification"
Facility: DEU_MatureDairyCattle_27869 | Country: DEU | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, retrofit equipment for 1) Liquid/slurry - manure is stored in steel/concrete cylinders; and/or 2) Pit storage - manure is collected and stored below a slatted floor for less than a year."
Facility: Vetagrande Municipality | Country: MEX | Sector: cropland-fires | EmissionReductionPotential(Mt): 0.005 | Difficulty: Long-term,"This practice involves the removal of crop residues rather than burning biomass after harvest and reprocessing as animal feed, bedding or soil amendments."
Facility: Kuzhenerskiy District | Country: RUS | Sector: enteric-fermentation-other | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additive 3-NOP has been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: CHN_MatureDairyCattle_7517 | Country: CHN | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Malaia Commune | Country: ROU | Sector: wood-and-wood-products | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replace energy requirement in the mills with waste biomass burning
Facility: DNK_MatureDairyCattle_2816 | Country: DNK | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Ghamr District | Country: YEM | Sector: residential-onsite-fuel-usage | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"Retrofit traditional building systems with high-efficiency technologies for space heating, water heating, and food preparation"
Facility: Elbląg (City) | Country: POL | Sector: railways | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Electrification of railways, following historical trends of electrification"
Facility: Mainit Lake | Country: PHL | Sector: manure-applied-to-soils | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Injecting or incorporating manure slurry below the surface rather than spreading on surface reduces N₂O by limiting anaerobic microsites and promoting better aeration.
Facility: Faisalabad Division | Country: PAK | Sector: fluorinated-gases | EmissionReductionPotential(Mt): 0.184 | Difficulty: Long-term,"Replace the use of refrigerants in refrigeration and air conditioning equipment with low global warming potential alternatives such as CO2, propane, or ammonia"
Facility: Anahy Municipality | Country: BRA | Sector: incineration-and-open-burning-of-waste | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Open burning of waste occurs in regions with poor waste management infrastructure. Decentralized waste management practices like neighborhood composting and recycling can reduce the emissions from open burning.
Facility: NLD_MatureDairyCattle_14328 | Country: NLD | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: FRA_MatureDairyCattle_22927 | Country: FRA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, retrofit equipment for 1) Liquid/slurry - manure is stored in steel/concrete cylinders; and/or 2) Pit storage - manure is collected and stored below a slatted floor for less than a year."
Facility: USA_Minnesota_OtherBeefCattle_10879 | Country: USA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Mid-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Abramut Commune | Country: ROU | Sector: other-energy-use | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: DEU_MatureDairyCattle_3901 | Country: DEU | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: General Obligado Department | Country: ARG | Sector: manure-left-on-pasture-cattle | EmissionReductionPotential(Mt): 0.020 | Difficulty: Long-term,"Rotating herds between multiple pastures allows pastures to recover between seasons and increase carbon stored in the soil and improves feed efficiency. In addition, growing specific fodder crops like plaintain could also reduce N2O."
Facility: Lunca Commune | Country: ROU | Sector: manure-left-on-pasture-cattle | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Rotating herds between multiple pastures allows pastures to recover between seasons and increase carbon stored in the soil and improves feed efficiency. In addition, growing specific fodder crops like plaintain could also reduce N2O."
Facility: Il-Fontana Local council | Country: MLT | Sector: other-manufacturing | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: Akhalkalaki District | Country: GEO | Sector: wood-and-wood-products | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replace energy requirement in the mills with waste biomass burning
Facility: Piscu Vechi Commune | Country: ROU | Sector: crop-residues | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Carbon-to-nitrogen ratio (C:N) in fields determines crop residue decomposition. In low C:N fields, prioritize surface retention under dry conditions, delayed incorporation, removal for processing, or conversion to biochar."
Facility: Polo Tecnologico Cirsu | Country: ITA | Sector: solid-waste-disposal | EmissionReductionPotential(Mt): 0.007 | Difficulty: Mid-term,"Divert waste from sanitary landfills through recycling and composting or anaerobic digestion technologies, and deploy intermediate biocover."
Facility: Kulykivs'kyi District | Country: UKR | Sector: manure-applied-to-soils | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,Injecting or incorporating manure slurry below the surface rather than spreading on surface reduces N₂O by limiting anaerobic microsites and promoting better aeration.
Facility: Yufu City | Country: JPN | Sector: manure-management-other | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,Implement a funnel or tray system to regularly remove slurry from the pits
Facility: Al Qa'im District | Country: IRQ | Sector: manure-left-on-pasture-cattle | EmissionReductionPotential(Mt): 0.014 | Difficulty: Long-term,"Rotating herds between multiple pastures allows pastures to recover between seasons and increase carbon stored in the soil and improves feed efficiency. In addition, growing specific fodder crops like plaintain could also reduce N2O."
Facility: FRA_MatureDairyCattle_24736 | Country: FRA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: PRT_MatureDairyCattle_37648 | Country: PRT | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Mid-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Beni Foudala El Hakania Commune | Country: DZA | Sector: solid-waste-disposal | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: DEU_MatureDairyCattle_5846 | Country: DEU | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Chong-Alay District | Country: KGZ | Sector: cropland-fires | EmissionReductionPotential(Mt): 0.007 | Difficulty: Long-term,"This practice involves the removal of crop residues rather than burning biomass after harvest and reprocessing as animal feed, bedding or soil amendments."
Facility: Akko Local Authority | Country: NGA | Sector: manure-management-other | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,Implement a funnel or tray system to regularly remove slurry from the pits
Facility: Bleckley County | Country: USA | Sector: railways | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"Electrification of railways, following historical trends of electrification"
Facility: ITA_MatureDairyCattle_11791 | Country: ITA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Mala Subotica Commune | Country: HRV | Sector: non-residential-onsite-fuel-usage | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Retrofit traditional building systems with high-efficiency technologies for space heating, water heating, and food preparation"
Facility: Tirunelveli District | Country: IND | Sector: forest-land-degradation | EmissionReductionPotential(Mt): 0.005 | Difficulty: Long-term,"Forest restoration includes natural regeneration, restoration with native species, Agroforestry and mixed land use, and community forest landscape restoration"
Facility: VERT PRE | Country: MTQ | Sector: domestic-wastewater-treatment-and-discharge | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Construct advanced treatment structures and connect with existing secondary treatment effluent
Facility: FRA_MatureDairyCattle_16111 | Country: FRA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, retrofit equipment for 1) Liquid/slurry - manure is stored in steel/concrete cylinders; and/or 2) Pit storage - manure is collected and stored below a slatted floor for less than a year."
Facility: Gönen District | Country: TUR | Sector: wetland-fires | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Reduce fire risk in wetlands by: Creating firebreaks, land management, and block wetland drainage"
Facility: BEL_MatureDairyCattle_487 | Country: BEL | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Jibert Commune | Country: ROU | Sector: biological-treatment-of-solid-waste-and-biogenic | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Flare CH4  from anaerobic digestion
Facility: Derwent | Country: GBR | Sector: water-reservoirs | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Introduce oxygen into the water to improve oxygen levels and water quality for reservoirs in temperate climates
Facility: Aroroy Municipality | Country: PHL | Sector: domestic-wastewater-treatment-and-discharge | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,Reduce emissions by factor of 0.1 via unspecified means
Facility: Aporá Municipality | Country: BRA | Sector: manure-left-on-pasture-cattle | EmissionReductionPotential(Mt): 0.002 | Difficulty: Long-term,"Rotating herds between multiple pastures allows pastures to recover between seasons and increase carbon stored in the soil and improves feed efficiency. In addition, growing specific fodder crops like plaintain could also reduce N2O."
Facility: GBR_MatureDairyCattle_5535 | Country: GBR | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: PRT_MatureDairyCattle_34466 | Country: PRT | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Mid-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Nchelenge District | Country: ZMB | Sector: cropland-fires | EmissionReductionPotential(Mt): 0.010 | Difficulty: Long-term,"This practice involves the removal of crop residues rather than burning biomass after harvest and reprocessing as animal feed, bedding or soil amendments."
Facility: BEL_MatureDairyCattle_5398 | Country: BEL | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: ESP_MatureDairyCattle_2205 | Country: ESP | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Qaysar District | Country: AFG | Sector: fluorinated-gases | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Replace the use of refrigerants in refrigeration and air conditioning equipment with low global warming potential alternatives such as CO2, propane, or ammonia"
Facility: Escuque Municipality | Country: VEN | Sector: fluorinated-gases | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"Replace the use of refrigerants in refrigeration and air conditioning equipment with low global warming potential alternatives such as CO2, propane, or ammonia"
Facility: San Juan Mixtepec -Dto. 08 - Municipality | Country: MEX | Sector: manure-left-on-pasture-cattle | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"Rotating herds between multiple pastures allows pastures to recover between seasons and increase carbon stored in the soil and improves feed efficiency. In addition, growing specific fodder crops like plaintain could also reduce N2O."
Facility: WINFIELD WWTP | Country: USA | Sector: domestic-wastewater-treatment-and-discharge | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,Utilize intelligent aeration and intelligent dosing technology and algorithms for WWTP management
Facility: Sharon Caroline Melato | Country: BRA | Sector: textiles-leather-apparel | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"High heat processes, like dyeing and finishing is are emissions-intensive. Electric boilers and industrial heat pumps not only reduce emissions from fuel combustion, but also from efficiency improvements."
Facility: DEU_MatureDairyCattle_14577 | Country: DEU | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: IND_MatureDairyCattle_10549 | Country: IND | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: CAN_OtherBeefCattle_1353 | Country: CAN | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For non-dairy cattle high productivity, modify the existing system and change manure handling to dry lot, where the manure is periodically removed from the paved or unpaved confined area and can be spread onto fields."
Facility: PRT_MatureDairyCattle_34321 | Country: PRT | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Kazimierza County | Country: POL | Sector: manure-applied-to-soils | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,Injecting or incorporating manure slurry below the surface rather than spreading on surface reduces N₂O by limiting anaerobic microsites and promoting better aeration.
Facility: ROWP Primaria Voila | Country: ROU | Sector: domestic-wastewater-treatment-and-discharge | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Construct advanced treatment structures and connect with existing secondary treatment effluent
Facility: Semen Gondar Zone | Country: ETH | Sector: rock-quarrying | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,Replacement of all diesel-powered mining vehicles and plant machinery with electric equivalents
Facility: USA_Minnesota_MatureDairyCattle_7692 | Country: USA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Mid-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Paramoti Municipality | Country: BRA | Sector: railways | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Electrification of railways, following historical trends of electrification"
Facility: Almaty (Alma-Ata) District | Country: KAZ | Sector: fluorinated-gases | EmissionReductionPotential(Mt): 0.026 | Difficulty: Long-term,"Replace the use of refrigerants in refrigeration and air conditioning equipment with low global warming potential alternatives such as CO2, propane, or ammonia"
Facility: Pelalawan Paper Mill (Kerinci) | Country: IDN | Sector: industrial-wastewater-treatment-and-discharge | EmissionReductionPotential(Mt): 0.017 | Difficulty: Long-term,Utilization of Intelligent Aeration and Intelligent Dosing Technology for WWTP Management
Facility: Balakovskiy District | Country: RUS | Sector: synthetic-fertilizer-application | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,"Apply nitrification and/or urease inhibitors with synthetic N. Meta-analysis average EF ratio ≈ 0.642 (~36% reduction vs conventional). Works best with correct timing, incorporation, and moisture management."
